days,point,average temperature,lowest temperature,highest temperature
"	20230801",108,29,25,34
"	20230802",108,29,26,33
"	20230803",108,29,25,33
"	20230804",108,30,26,34
"	20230805",108,30,26,34
"	20230806",108,29,27,33
"	20230807",108,30,27,34
"	20230808",108,30,26,35
"	20230809",108,28,25,31
"	20230810",108,22,20,25
"	20230811",108,23,21,24
"	20230812",108,23,22,24
"	20230813",108,27,22,31
"	20230814",108,28,24,31
"	20230815",108,28,24,32
"	20230816",108,27,24,31
"	20230817",108,28,24,32
"	20230818",108,29,25,33
"	20230819",108,29,26,33
"	20230820",108,28,25,31
"	20230821",108,29,26,33
"	20230822",108,27,25,32
"	20230823",108,24,23,27
"	20230824",108,25,22,27
"	20230825",108,26,24,30
"	20230826",108,26,23,30
"	20230827",108,26,22,29
"	20230828",108,22,20,25
"	20230829",108,23,22,25
"	20230830",108,22,21,24
"	20230831",108,23,21,28
"	20230901",108,24,19,29
"	20230902",108,25,19,30
"	20230903",108,25,23,28
"	20230904",108,27,24,30
"	20230905",108,28,25,32
"	20230906",108,27,24,32
"	20230907",108,26,20,31
"	20230908",108,25,19,30
"	20230909",108,25,20,31
"	20230910",108,25,22,29
"	20230911",108,25,23,29
"	20230912",108,25,21,29
"	20230913",108,22,19,24
"	20230914",108,23,19,27
"	20230915",108,22,20,24
"	20230916",108,23,22,26
"	20230917",108,24,22,28
"	20230918",108,24,22,28
"	20230919",108,24,21,27
"	20230920",108,20,18,23
"	20230921",108,20,17,23
"	20230922",108,20,15,26
"	20230923",108,21,16,27
"	20230924",108,21,17,26
"	20230925",108,21,17,26
"	20230926",108,19,18,20
"	20230927",108,21,20,23
"	20230928",108,22,19,27
"	20230929",108,21,17,26
"	20230930",108,19,17,22
"	20231001",108,18,14,23
"	20231002",108,18,12,24
"	20231003",108,17,14,22
"	20231004",108,17,14,23
"	20231005",108,14,9,19
"	20231006",108,15,9,21
"	20231007",108,16,11,21
"	20231008",108,17,15,19
"	20231009",108,17,14,22
"	20231010",108,17,11,23
"	20231011",108,17,12,24
"	20231012",108,17,12,24
"	20231013",108,17,14,21
"	20231014",108,14,12,18
"	20231015",108,16,10,21
"	20231016",108,14,10,19
"	20231017",108,13,7,20
"	20231018",108,15,9,21
"	20231019",108,17,14,18
"	20231020",108,11,7,15
"	20231021",108,10,5,16
"	20231022",108,12,5,18
"	20231023",108,15,11,21
"	20231024",108,15,11,19
"	20231025",108,16,12,21
"	20231026",108,17,14,21
"	20231027",108,15,12,20
"	20231028",108,14,9,20
"	",,,,
